time,com,angle,finger
17:38:26.509,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,1,X
17:38:26.509,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,58,T
17:38:26.510,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,93,I
17:38:26.511,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,79,M
17:38:26.512,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,102,R
17:38:26.512,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,38,P
17:38:26.537,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,18,X
17:38:26.538,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,62,T
17:38:26.539,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,47,I
17:38:26.540,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,67,M
17:38:26.541,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,76,R
17:38:26.542,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,79,P
17:38:26.543,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,1,X
17:38:26.544,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,58,T
17:38:26.545,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,93,I
17:38:26.545,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,79,M
17:38:26.546,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,102,R
17:38:26.547,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,38,P
17:38:26.566,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,18,X
17:38:26.568,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,62,T
17:38:26.568,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,47,I
17:38:26.569,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,67,M
17:38:26.570,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,76,R
17:38:26.571,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,79,P
17:38:26.571,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,1,X
17:38:26.572,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,58,T
17:38:26.573,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,93,I
